week,person,objective,expected,actual,completion,debit
1,K,1,3,1,0.33,$10.00
1,F,1,2,2,1.00,$0.00
1,F,2,0,0,1.00,$0.00
1,B,1,2,2,1.00,$0.00
1,B,2,3,3,1.00,$0.00
1,J,1,5,5,1.00,$0.00
1,J,2,0,0,1.00,$0.00
1,K,2,5,5,1.00,$0.00
1,M,1,0,0,1.00,$0.00
1,M,2,6,6,1.00,$0.00
1,T,1,2,2,1.00,$0.00
1,T,2,2,2,1.00,$0.00
2,J,1,5,3,0.60,$6.00
2,F,1,2,2,1.00,$0.00
2,F,2,0,0,1.00,$0.00
2,B,1,2,2,1.00,$0.00
2,B,2,3,3,1.00,$0.00
2,J,2,0,0,1.00,$0.00
2,K,1,3,3,1.00,$0.00
2,K,2,5,5,1.00,$0.00
2,M,1,5,5,1.00,$0.00
2,M,2,6,6,1.00,$0.00
2,T,1,2,2,1.00,$0.00
2,T,2,2,2,1.00,$0.00
3,F,1,0,0,1.00,$0.00
3,F,2,3,3,1.00,$0.00
3,B,1,2,2,1.00,$0.00
3,B,2,3,3,1.00,$0.00
3,J,1,5,5,1.00,$0.00
3,J,2,0,0,1.00,$0.00
3,K,1,3,3,1.00,$0.00
3,K,2,5,5,1.00,$0.00
3,M,1,5,5,1.00,$0.00
3,M,2,6,6,1.00,$0.00
3,T,1,0,0,1.00,$0.00
3,T,2,5,5,1.00,$0.00
4,J,1,5,2,0.40,$9.00
4,F,2,3,2,0.67,$5.00
4,F,1,0,0,1.00,$0.00
4,B,1,2,2,1.00,$0.00
4,B,2,3,3,1.00,$0.00
4,J,2,0,0,1.00,$0.00
4,K,1,3,3,1.00,$0.00
4,K,2,5,5,1.00,$0.00
4,M,1,5,5,1.00,$0.00
4,M,2,6,6,1.00,$0.00
4,T,1,0,0,1.00,$0.00
4,T,2,5,5,1.00,$0.00
5,T,2,5,1,0.20,$12.00
5,B,1,2,1,0.50,$7.50
5,K,2,5,3,0.60,$6.00
5,F,2,3,2,0.67,$5.00
5,B,2,3,2,0.67,$5.00
5,J,2,10,8,0.80,$3.00
5,F,1,0,0,1.00,$0.00
5,J,1,0,0,1.00,$0.00
5,K,1,3,3,1.00,$0.00
5,M,1,5,5,1.00,$0.00
5,M,2,6,6,1.00,$0.00
5,T,1,0,0,1.00,$0.00
6,J,2,10,3,0.30,$10.50
6,F,2,3,2,0.67,$5.00
6,F,1,0,0,1.00,$0.00
6,B,1,2,2,1.00,$0.00
6,B,2,3,3,1.00,$0.00
6,J,1,0,0,1.00,$0.00
6,K,1,3,3,1.00,$0.00
6,K,2,5,5,1.00,$0.00
6,M,1,5,5,1.00,$0.00
6,M,2,6,6,1.00,$0.00
6,T,1,0,0,1.00,$0.00
6,T,2,5,5,1.00,$0.00
7,F,1,0,0,1.00,$0.00
7,F,2,3,3,1.00,$0.00
7,B,1,2,2,1.00,$0.00
7,B,2,3,3,1.00,$0.00
7,J,1,0,0,1.00,$0.00
7,J,2,10,10,1.00,$0.00
7,K,1,3,3,1.00,$0.00
7,K,2,5,5,1.00,$0.00
7,M,1,5,4,0.80,$3.00
7,M,2,6,6,1.00,$0.00
7,T,1,0,0,1.00,$0.00
7,T,2,5,5,1.00,$0.00
8,F,1,0,0,1.00,$0.00
8,F,2,3,3,1.00,$0.00
8,B,1,2,1,0.50,$7.50
8,B,2,3,3,1.00,$0.00
8,J,1,0,0,1.00,$0.00
8,J,2,10,6,0.60,$6.00
8,K,1,3,2,0.67,$5.00
8,K,2,5,5,1.00,$0.00
8,M,1,5,5,1.00,$0.00
8,M,2,6,5,0.83,$2.50
8,M,3,4,4,1.00,$0.00
8,T,1,0,0,1.00,$0.00
8,T,2,5,5,1.00,$0.00
9,F,1,0,0,1.00,$0.00
9,F,2,3,3,1.00,$0.00
9,B,1,2,2,1.00,$0.00
9,B,2,3,3,1.00,$0.00
9,J,1,0,0,1.00,$0.00
9,J,2,10,10,1.00,$0.00
9,K,1,3,1,0.33,$10.00
9,K,2,5,5,1.00,$0.00
9,M,1,5,5,1.00,$0.00
9,M,2,6,6,1.00,$0.00
9,M,3,4,4,1.00,$0.00
9,T,1,2,2,1.00,$0.00
9,T,2,3,2,0.67,$5.00
10,F,1,0,0,1.00,$0.00
10,F,2,3,3,1.00,$0.00
10,B,1,2,2,1.00,$0.00
10,B,2,3,3,1.00,$0.00
10,J,1,0,0,1.00,$0.00
10,J,2,10,10,1.00,$0.00
10,K,1,0,0,1.00,$0.00
10,K,2,5,5,1.00,$0.00
10,M,1,5,5,1.00,$0.00
10,M,2,6,6,1.00,$0.00
10,M,3,4,4,1.00,$0.00
10,T,1,2,2,1.00,$0.00
10,T,2,3,3,1.00,$0.00
11,F,1,0,0,1.00,$0.00
11,F,2,3,3,1.00,$0.00
11,B,1,2,2,1.00,$0.00
11,B,2,3,3,1.00,$0.00
11,J,1,0,0,1.00,$0.00
11,J,2,10,10,1.00,$0.00
11,K,1,3,0,0.00,$15.00
11,K,2,5,5,1.00,$0.00
11,M,1,5,5,1.00,$0.00
11,M,2,6,6,1.00,$0.00
11,M,3,4,4,1.00,$0.00
11,T,1,2,2,1.00,$0.00
11,T,2,3,3,1.00,$0.00
